50cent,Its coolRT @Jzeltwanger: Now all the fans are comin back to @50cent. I've been here the whole time. #loyalfan
50cent,RT @MrFlyTheFvckOut: What @50cent said about french is soo true. You can't listen to a french montana song where its just him on the song
50cent,Ill take care of it SKRT @IAMKWADWO: I need 05 @50cent back I'm tired of these fakes
50cent,De Niro called me I'm in. It's going down SMSaudio
50cent,"I'm going to be in another movie with Robert de Niro and Michael Douglas,Morgan Freeman,Kevin Kline ""LAST VEGAS"" #SMSaudio"
50cent,Courtney kemp is writing the show on the STARZ net she's no joke. SMSaudio
50cent,Courtney kemp is the best I'm gonna have a big show on the STARZ net man. Lol
50cent,RT @_swaggaholicc: @50cent @Eminem my life is so awesome! Y'all are better than ever!
50cent,"Glad you like it SKRT @G_R_I_N_D_I_N: @50cent  My Life so inspiring, all day on repeat, thx Fif #SK"
50cent,"Who, who backRT @callum_pavier: @50cent #mylife is incredible!!!! Guess who's back...."
50cent,The show is amazing Courtney kemp is not human she work like me unbelievably hard.SMSaudio
50cent,Yea fat girls I ain't wit it SMSaudioRT @StillLCutz: @50cent is there anything you won't conquer 50?
50cent,This is what we do SMSaudioRT @rowan1000: @50cent YOUR A MONSTER!!! THE HUSTLE NEVER STOPS
50cent,Thanks SKRT @Matt_Kromm: @50cent My Life feat. Eminem is my new addiction. #KilledIt
50cent,"RT @Ear2thaStreetz: @50Cent To Executive Produce Starz TV Show ""Power."
50cent,"Courtney kemp is the Bomb. She is a Emmy nominated writer for CBS DRAMA ""the good wife"" she is writing the show. SMSaudio"
50cent,I have a television show that got picked up on the STARS net work. SMSaudio
50cent,"LMAO RT@StrahinjaZaric:i listening to @50cent Get Rich or Die album,now im gonna listen French Montana's album..wait?! he dont have one"
50cent,RT @sqooty1: @50cent I agree.. French aint did nothin but get a record deal and have a one hit wonder which feat everyone else. What can ...
50cent,RT @ItsNotLandon: @50cent can't even believe this French toast garbage is trying to diss 50 another career on its way out the door some  ...
50cent,RT @lloydswifey4eva: @50cent best rapper hands down
50cent,RT@CoriAnthony:Can somebody explain how @50cent vs French Toast is even talkable..bodies of work incomparable.His ... http://t.co/j43FSWow
50cent,@MannyPacquiao is LIVE on http://t.co/U646RU6G #SMSAUDIO http://t.co/DKCRi3a0
50cent,.@MannyPacquiao is on http://t.co/U646RU6G TODAY at 2:30pPT/5:30p ET. Tune in
50cent,EIF gonna be to busy to shoot your little punk ass videos. I got him a movie over at Lionsgate.@Frenchmontana your out of ya league boy. SMS
50cent,RT @ohSquints: @50cent French sucks anyway. Don't even worry about him. He's jealous he cant make 400 mill off a Vitamin Water Commercial.
50cent,LMAO @Frenchmontana gonna find out what we already know. Puffy gonna run like a b!tch you on ya own boy.
50cent,Tell @Frenchmontana to just say ok I'm a snake I went and made tape Cause if he lie. I'm gonna put out the tape of ... http://t.co/MDjMrdtb
50cent,"RT @LindsayyC10: OMG, @Eminem @50cent @adamlevine all in one song yes please!!! LOVES! 
http://t.co/2NOCxFb7"
50cent,MOVIE picALL THINGS FALL APART like your career is right now French girl://t.co/PUxMDGve
50cent,LolRT@MatthewGervasio:Why did my mom just ask me if I heard the new @50cent song?i just stared at her like what did U just say?Lol
50cent,"RT @papidihno: Feeling the new @50cent track ""My Life"" featuring Eminem and Adam Levine. #1 on iTunes."
50cent,"RT @1zzy_Duzit: @50cent people was sleepin on you,you woke their asses up with #MyLife I'm not surprised,yu're my fav rapper for a reaso ..."
50cent,"RT @DHendo763: @50cent just put soap in my mouth with this My Life track.  #WOW #Whoa I missed you homey, you back."
50cent,Dec8 GAMBOA is ready don't miss it. SMSaudio http://t.co/BNTXYCxd
50cent,with @GAMBOA #SK http://t.co/HPcAtMWa
50cent,@MannyPacquiao is in Times Square &amp; on http://t.co/U646RU6G at 2:30pPT/5:30p ET on Friday.
50cent,Just posted a photo http://t.co/GrVZQ5R2
50cent,at Fortune's Gym for @GAMBOA workout session. MY LIFE blasting he fight FARENAS for world title on the #PacMarquez 4 undercard Dec8 on PPV
50cent,RT @smsaudio: UK and Europe: We want to hook you up. 50% off SYNC by @50cent http://t.co/HyogJjHV and http://t.co/BjXbqBvX
50cent,RT @Magic909: @50cent My Life is on a great song has meaning and purpose instead of alot of bubble gum music nowadays. Thanks Fif and @E ...
50cent,"RT @CherrellRene: ALL OF THIS RT @RobMarkman: ""If you lose the ability to be a fan, you're finished."" - @50cent SOOOO DAMN TRUE"
50cent,"MY LIFE is one of the biggest songs I'v ever wrote. I'm not back, I'm better thank for making me work harder.SMSaudio"
50cent,The choppers spot light in the my life video is a metaphor for fame. You can run but you can't hide from it. SMSaudio
50cent,"RT @AndrewBuzzzz: @50cent My life is number one on Itunes, Street King Immortal will also be number one on Itunes!"
50cent,I have more SKRT @MatinBrifkani: @50cent My Life definitely the best track of the year it's a pure master piece!!!
